,subject,subsample,chao2,species,shannon,num_h3,ratio,key
105,Kymouse 1,0.6,31341.22964169381,Kymouse,9.8423461694943,19086,0.5809107202527416,cdr3_aa
106,Kymouse 1,0.7,31344.16,Kymouse,9.989137320799838,22234,0.6742610650384276,cdr3_aa
107,Kymouse 1,0.8,31344.0,Kymouse,10.115232459143362,25282,0.7675202770436526,cdr3_aa
108,Kymouse 1,0.9,31344.0,Kymouse,10.227391344030952,28338,0.8605972234879553,cdr3_aa
109,Kymouse 1,1.0,31344.0,Kymouse,10.326396031399446,31344,0.9521552902579058,cdr3_aa
110,Kymouse 2,0.1,55548.714359601276,Kymouse,8.641663678658736,5686,0.09887699138156177,cdr3_aa
111,Kymouse 2,0.2,54375.90303049316,Kymouse,9.320262450396557,11293,0.19616958300687734,cdr3_aa
112,Kymouse 2,0.3,53968.21552226384,Kymouse,9.715519716705435,16797,0.2923478715069209,cdr3_aa
113,Kymouse 2,0.4,53872.74293650794,Kymouse,9.99142609356682,22249,0.38725515800470095,cdr3_aa
114,Kymouse 2,0.5,53854.557508680555,Kymouse,10.205592045448034,27653,0.48078697658222336,cdr3_aa
115,Kymouse 2,0.6,53847.760511882996,Kymouse,10.377826773595316,33009,0.5742317402280839,cdr3_aa
116,Kymouse 2,0.7,53848.42105263158,Kymouse,10.522817219239688,38291,0.665848350309045,cdr3_aa
117,Kymouse 2,0.8,53848.0,Kymouse,10.647870259135894,43487,0.75727343954035,cdr3_aa
118,Kymouse 2,0.9,53848.0,Kymouse,10.757352186114536,48696,0.8480891442500218,cdr3_aa
119,Kymouse 2,1.0,53848.0,Kymouse,10.854836456634013,53848,0.9375467920257683,cdr3_aa
120,Kymouse 3,0.1,95718.41081532575,Kymouse,9.196786737327265,9901,0.09878784855589365,cdr3_aa
121,Kymouse 3,0.2,94335.73661450508,Kymouse,9.874820041162948,19668,0.19576994063949718,cdr3_aa
122,Kymouse 3,0.3,93525.44025096526,Kymouse,10.26903011078009,29219,0.29136529156482266,cdr3_aa
123,Kymouse 3,0.4,93394.58717135931,Kymouse,10.543455570874743,38659,0.38587319798473585,cdr3_aa
124,Kymouse 3,0.5,93348.32453957193,Kymouse,10.756406915395434,48019,0.47877487903426946,cdr3_aa
125,Kymouse 3,0.6,93334.5663377193,Kymouse,10.92722609004034,57303,0.5712675213248866,cdr3_aa
126,Kymouse 3,0.7,93333.3954248366,Kymouse,11.071779263019438,66408,0.6616950167107298,cdr3_aa
127,Kymouse 3,0.8,93334.0,Kymouse,11.194910003597593,75508,0.7532398862672719,cdr3_aa
128,Kymouse 3,0.9,93334.0,Kymouse,11.303736374503956,84465,0.8424502419314611,cdr3_aa
129,Kymouse 3,1.0,93334.0,Kymouse,11.400212352752586,93334,0.9311517932857785,cdr3_aa
130,Kymouse 4,0.1,53311.2320817444,Kymouse,8.588679985365705,5388,0.0994408871994538,cdr3_aa
131,Kymouse 4,0.2,52238.82237270478,Kymouse,9.272723040037928,10702,0.19718413817282676,cdr3_aa
132,Kymouse 4,0.3,51765.501453612655,Kymouse,9.671378009659946,15986,0.2944291698189803,cdr3_aa
133,Kymouse 4,0.4,51642.03333333333,Kymouse,9.95136707252385,21163,0.3904932371339472,cdr3_aa
134,Kymouse 4,0.5,51613.19632319564,Kymouse,10.166270497860241,26367,0.48620670566309304,cdr3_aa
135,Kymouse 4,0.6,51610.128759398496,Kymouse,10.34088293943821,31499,0.5808683778347757,cdr3_aa
136,Kymouse 4,0.7,51603.27272727273,Kymouse,10.489359898333154,36547,0.6751609986529625,cdr3_aa
137,Kymouse 4,0.8,51603.0,Kymouse,10.615319400358525,41616,0.7675899101359954,cdr3_aa
