,subject,type,neighbour,shared,key
133,Human 8,Human/Kymouse,Kymouse 1,0.15632976008167432,cdr3_aa
134,Human 8,Human/Kymouse,Kymouse 2,0.2097635392829901,cdr3_aa
135,Human 8,Human/Kymouse,Kymouse 3,0.34007119247393847,cdr3_aa
136,Human 8,Human/Kymouse,Kymouse 4,0.20658530383930843,cdr3_aa
137,Human 8,Human/Kymouse,Kymouse 5,0.18324607329842932,cdr3_aa
138,Human 8,Human/Kymouse,Kymouse 6,0.3178235443681668,cdr3_aa
139,Human 8,Human/Kymouse,Kymouse 7,0.17480294940249175,cdr3_aa
140,Human 9,Human/Human,Human 10,0.053861172827038305,cdr3_aa
141,Human 9,Human/Mouse,Mouse 1,0.08153897260894513,cdr3_aa
142,Human 9,Human/Mouse,Mouse 2,0.04227946727871229,cdr3_aa
143,Human 9,Human/Mouse,Mouse 3,0.030199619484794493,cdr3_aa
144,Human 9,Human/Mouse,Mouse 4,0.028231042854723054,cdr3_aa
145,Human 9,Human/Mouse,Mouse 5,0.04831939117567119,cdr3_aa
146,Human 9,Human/Kymouse,Kymouse 1,0.20099540581929556,cdr3_aa
147,Human 9,Human/Kymouse,Kymouse 2,0.2204572222389998,cdr3_aa
148,Human 9,Human/Kymouse,Kymouse 3,0.4831939117567119,cdr3_aa
149,Human 9,Human/Kymouse,Kymouse 4,0.26877661341467096,cdr3_aa
150,Human 9,Human/Kymouse,Kymouse 5,0.22905759162303663,cdr3_aa
151,Human 9,Human/Kymouse,Kymouse 6,0.37145531966297224,cdr3_aa
152,Human 9,Human/Kymouse,Kymouse 7,0.29595627095098603,cdr3_aa
153,Human 10,Human/Mouse,Mouse 1,0.04039587962027873,cdr3_aa
154,Human 10,Human/Mouse,Mouse 2,0.006732646603379788,cdr3_aa
155,Human 10,Human/Mouse,Mouse 3,0.020197939810139363,cdr3_aa
156,Human 10,Human/Mouse,Mouse 4,0.011292417141889222,cdr3_aa
157,Human 10,Human/Mouse,Mouse 5,0.02356426311182926,cdr3_aa
158,Human 10,Human/Kymouse,Kymouse 1,0.14811822527435534,cdr3_aa
159,Human 10,Human/Kymouse,Kymouse 2,0.19524675149801388,cdr3_aa
160,Human 10,Human/Kymouse,Kymouse 3,0.37029556318588835,cdr3_aa
161,Human 10,Human/Kymouse,Kymouse 4,0.23900895441998252,cdr3_aa
162,Human 10,Human/Kymouse,Kymouse 5,0.16494984178280483,cdr3_aa
163,Human 10,Human/Kymouse,Kymouse 6,0.2524742476267421,cdr3_aa
164,Human 10,Human/Kymouse,Kymouse 7,0.18851410489463408,cdr3_aa
165,Mouse 1,Mouse/Mouse,Mouse 2,4.553184910327768,cdr3_aa
166,Mouse 1,Mouse/Mouse,Mouse 3,4.410201912858661,cdr3_aa
